ts,vaultid,count,means194,stddevs194
1682294400000,1003,11635,18.499,2.325
1682294400000,1015,11624,26.187,4.101
1682294400000,1012,11693,30.557,6.636
1682294400000,1010,11486,22.155,2.81
1682294400000,1016,11532,27.198,5.316
1682294400000,1013,10262,26.877,4.996
1682294400000,1004,10456,19.882,2.77
1682294400000,1002,12122,22.716,2.614
1682294400000,1019,10338,27.884,5.369
1682294400000,1001,10242,18.386,1.876
1682294400000,1008,10985,29.422,4.093
1682294400000,1014,11993,26.361,5.933
1682294400000,1017,10717,28.264,5.489
1682294400000,1011,10850,26.185,6.592
1682294400000,1020,11910,26.137,5.448
1682294400000,1007,11448,25.853,4.596
1682294400000,1005,10914,21.355,2.78
1682294400000,1018,11629,27.84,4.212
1682294400000,1000,11563,22.21,2.435
1682294400000,1009,11417,27.188,3.066
1682294400000,1006,11684,22.933,3.789
